what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356117672346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356117709107
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1356117715230
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1356117758237
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1356117759845
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1356117791473
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1356117791528
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1356118077731
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1356118077752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118138714
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1356118138731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118139078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118140517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118150573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118158252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118162774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118331456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118337765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118449890
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1356118450725
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1356118451658
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1356118451690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118463210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118495582
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356118498617
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1356118503248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118522674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118605303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118611339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118654081
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356118658439
closed,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1356118658481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118662392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118670591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118691474
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118693098
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118695277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118703448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118704505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118704903
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118705081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118705225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118705370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118742760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118743368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118743548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118743731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118743907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118744087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1356118744236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356118763597
