what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356235591786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356235592803
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356235594401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356235603675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1356235658353
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356235671848
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356235671963
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356235728551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356235935006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356235936070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356235937601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356235951790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236006637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236007649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236008280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236017174
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356236143304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236145278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236184313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236187550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236189891
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1356236195651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356236196961
