what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356120332936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120344674
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1356120408570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120557853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120559310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120774962
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356120778590
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356120780114
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356120781535
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356120781662
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356120783354
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356120789457
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1356120790942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120793125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120812762
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120814335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120817292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120818144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120839742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120846094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120858614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120866701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120873004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120916761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120917783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120918488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120919515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120941061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120949117
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1356120964695
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1356120964844
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1356120964861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120968778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120978016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356120986834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356121005517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356121008454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356121013345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356121014629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356121015530
